Spe\Gen	2	4	8	16	32	64	128	256	512	1024	
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
4	NA	NA	-0.363	NA	-0.359	NA	-0.443	-0.015	-0.356	-0.287	
8	-0.194	-0.294	-0.306	-0.286	-0.252	-0.449	-0.358	-0.498	-0.303	-0.43	
16	NA	-0.23	-0.14	-0.201	-0.087	-0.17	-0.127	-0.193	-0.266	-0.178	
32	0.271	-0.186	-0.179	-0.203	-0.031	-0.119	-0.226	-0.155	-0.132	-0.182	
64	NA	-0.213	-0.108	-0.183	-0.189	-0.145	-0.063	-0.081	-0.122	-0.085	
128	-0.277	NA	-0.041	NA	-0.122	-0.158	-0.108	-0.06	-0.081	NA	
256	NA	NA	NA	-0.048	NA	NA	-0.09	NA	NA	NA	
512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
