Spe\Gen	2	4	8	16	32	64	128	256	512	1024	
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
4	NA	NA	NA	-0.526	-0.668	NA	NA	-0.116	NA	NA	
8	NA	NA	NA	-0.595	NA	-0.327	-0.473	-0.572	-0.383	-0.335	
16	-0.394	-0.325	-0.463	-0.223	-0.307	-0.574	-0.418	-0.162	-0.313	-0.567	
32	NA	NA	-0.224	-0.327	-0.346	-0.186	-0.235	-0.305	-0.198	-0.326	
64	NA	NA	NA	NA	-0.255	-0.343	-0.142	-0.147	-0.162	-0.236	
128	NA	NA	NA	-0.196	-0.15	-0.131	-0.17	-0.199	-0.129	-0.11	
256	NA	NA	NA	-0.577	-0.211	-0.146	-0.152	-0.107	-0.058	-0.064	
512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
