Spe\Gen	2	4	8	16	32	64	128	256	512	1024	
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
4	-0.042	NA	-0.119	-0.091	-0.096	-0.091	-0.222	-0.017	-0.296	NA	
8	-0.11	-0.148	-0.215	-0.356	-0.096	-0.276	-0.299	-0.138	-0.455	-0.344	
16	-0.191	-0.147	-0.07	-0.225	-0.164	-0.199	-0.182	-0.142	-0.095	-0.188	
32	-0.08	-0.132	-0.073	-0.191	-0.068	-0.128	-0.191	-0.209	-0.184	-0.116	
64	0.062	-0.038	-0.054	-0.079	NA	NA	NA	-0.104	-0.131	-0.066	
128	NA	0.068	-0.083	-0.082	NA	NA	NA	NA	NA	-0.126	
256	NA	NA	NA	0.098	NA	NA	NA	NA	NA	NA	
512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
