Spe\Gen	2	4	8	16	32	64	128	256	512	1024	
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
4	-0.532	-0.661	-0.407	NA	NA	-0.591	NA	-0.102	-0.118	NA	
8	NA	-0.436	-0.231	-0.354	-0.44	-0.227	-0.452	-0.447	-0.455	-0.413	
16	NA	-0.183	-0.294	-0.139	-0.355	-0.187	-0.348	-0.326	-0.329	-0.431	
32	NA	-0.64	-0.311	-0.218	-0.196	-0.135	-0.295	-0.277	-0.275	-0.265	
64	NA	-0.446	-0.245	-0.185	-0.205	-0.179	-0.225	-0.151	-0.171	-0.185	
128	NA	NA	NA	-0.168	-0.057	-0.153	-0.166	-0.1	-0.147	-0.13	
256	NA	NA	NA	-0.135	-0.039	-0.089	-0.135	-0.065	-0.053	-0.053	
512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
