Spe\Gen	2	4	8	16	32	64	128	256	512	1024	
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
8	NA	-0.577	-0.385	-0.289	-0.224	-0.49	NA	-0.48	-0.208	NA	
16	NA	NA	-0.393	-0.284	-0.228	-0.343	-0.416	-0.332	-0.231	-0.349	
32	NA	NA	NA	-0.283	-0.253	-0.228	-0.316	-0.215	-0.399	-0.121	
64	NA	-0.396	-0.117	-0.36	-0.29	-0.218	-0.224	-0.158	-0.209	-0.237	
128	NA	NA	NA	NA	-0.096	-0.218	-0.136	-0.176	-0.126	-0.11	
256	NA	NA	NA	-0.683	-0.16	-0.074	-0.078	-0.069	-0.121	-0.101	
512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
1024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
